2025/11/20 02:02:03 [warn] 191#191: 512 worker_connections are not enough, reusing connections
2025/11/20 02:02:03 [warn] 190#190: 512 worker_connections are not enough, reusing connections
2025/11/20 02:02:03 [alert] 191#191: 512 worker_connections are not enough
2025/11/20 02:06:56 [error] 227#227: *1199 open() "/var/www/html/.vscode/sftp.json" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /.vscode/sftp.json HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:56 [error] 227#227: *1202 open() "/var/www/html/debug/default/view" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /debug/default/view?panel=config HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:56 [error] 227#227: *1203 open() "/var/www/html/about" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /about HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:56 [error] 227#227: *1207 open() "/var/www/html/debug/default/view" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /debug/default/view?panel=config HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:56 [error] 227#227: *1206 open() "/var/www/html/v2/_catalog" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /v2/_catalog HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:57 [error] 228#228: *1212 open() "/var/www/html/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:57 [error] 228#228: *1210 open() "/var/www/html/v2/_catalog" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /v2/_catalog HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:57 [error] 228#228: *1215 open() "/var/www/html/server-status" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /server-status HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:57 [error] 228#228: *1216 open() "/var/www/html/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:57 [error] 228#228: *1219 open() "/var/www/html/login.action" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /login.action HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:57 [error] 228#228: *1221 open() "/var/www/html/server-status" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /server-status HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:58 [error] 228#228: *1223 open() "/var/www/html/_all_dbs" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /_all_dbs HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:58 [error] 228#228: *1224 open() "/var/www/html/login.action" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /login.action HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:58 [error] 228#228: *1226 open() "/var/www/html/.DS_Store" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /.DS_Store HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:58 [error] 228#228: *1228 open() "/var/www/html/_all_dbs" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /_all_dbs HTTP/1.1", host: "deanhauser.me"
